nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
389,04d9926444e98e86817a76edd13cd9844190adc8080abd44df4542954f46c611,3,67,67,67,0,146.952459,2091.250875,0,1.0
390,b8de4d80e0b49238c54a6cb7b97d29980629e572d7e591fa19a4195398e3d82a,0,211,192,192,0,98.839375,180000.049042,1,0.909952606635071
391,b602fa06a90ceecc86fad33d027477fca7d57feb544462664b578dc9abd7ac5b,0,211,171,171,0,99.437166,180000.052375,1,0.8104265402843602
392,e98185500e838b23eec0a564da14000b9b44fb7cdffef8f355788818d9536e71,0,211,205,205,0,98.854833,180000.063666,1,0.9715639810426541
393,901e9859f83b4d74c53b26dd8d5f9decae717570a8e00706a4254aa97189e274,0,211,204,204,0,81.657375,180000.096584,1,0.966824644549763
394,330f53e7efad0773211d467163e98121e48c93d6723ffe18ce49d9085146bc03,0,211,206,206,0,93.813334,180000.056792,1,0.976303317535545
395,f2550c27d3d74a0563ec12dfd85628e670881bf8976a423761b0c6cd25a08a7f,1,105,105,105,0,96.91,2543.107833,0,1.0
396,03886a74fb660093fa879fd78520ec9d340739fd7a222066ee11941e23abae95,0,211,204,204,0,86.794208,180000.049833,1,0.966824644549763
397,0e730c82ce49699c46ab30e7ab9d287b7c814254d5a7bf244ee008528bffa1e2,0,211,190,190,0,78.046125,180000.041125,1,0.9004739336492891
398,4d5f08dc798ce4b0ae316bc6becbac4a1072cb60c0a668fa1591556c8f863b95,0,211,190,190,0,87.918583,180000.054625,1,0.9004739336492891
399,357f516490656df118efdc44807898094d165d29e4aedfeab942609fbfffa294,0,211,203,203,0,99.974458,180000.017167,1,0.9620853080568721
400,fe4445ea642a696dbb0fe4d6b5f1f146108ca63b58fe43496544b424a908d136,0,211,185,185,0,77.220041,180000.025333,1,0.8767772511848341
401,c05b06e3f10ca05f9c6b67910b9465d95dc882db620f0980cca13df1367861f6,4,39,39,39,0,231.388125,1303.38675,0,1.0
402,1d7dd06becec8273504b2cef731327607c1822c12b8c96b1136fd90329ed80a0,2,73,73,73,0,97.201666,1964.29675,0,1.0
403,59e20e1495a5313550e80263de692ed93ece51b62ec55a7469b4f5811f9628a5,0,211,189,189,0,79.547541,180000.086958,1,0.8957345971563981
