nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
307,39064d8efd2cc3210fce5ff3108f0c732218856002cde591c2cee350d87b0cbf,2,73,73,73,0,161.131125,2215.698583,0,1.0
308,ecfe84c72d8dfdcc94d048914a28a7527000b5a219ff1e6a9f9f564cbff3abce,0,211,197,197,0,87.428459,90000.016084,1,0.933649289099526
309,0619288f8ad26aabbcbea78ef37dc0237014bca1c3ce6aef50d7519326941a82,2,73,73,73,0,87.2625,2684.196708,0,1.0
310,21a8a2c5d611005db5cf69cda4c5428c5955f0e9fd793b9a4760cb6ed28b0ff4,0,211,162,162,0,86.2175,90000.046333,1,0.7677725118483413
311,90f6a1be4e7c0db8dc448318874a7154a7aa89d044329ad1d8a6b3e1f45a1e0a,1,105,105,105,0,98.026792,2353.230334,0,1.0
312,5d04877a8f9923c90090cda50e6497c301030a2212efc10916d7594969efefe7,3,67,67,67,0,96.783667,1870.774125,0,1.0
313,577a297c6f22595b556b0a88e3b9475f2edd0dfe8bb4d9eb2f948f433cc351a8,4,39,39,39,0,280.3915,1605.443958,0,1.0
314,7afa66d89cb51da55722cb5da2168682391c5ee480c165eb1324d97484f383b5,4,39,39,39,0,97.2125,611.836416,0,1.0
315,6b22fbfaeb395d1988e7a293d9f2ed617cb5037691863fad1b6c66c6fb331ff3,1,105,104,104,0,97.343208,90000.085875,1,0.9904761904761905
316,52f9ac07bf731588313eb70a22b8c13ac388344d71a26dee7c96ea8e08453250,1,105,105,105,0,84.96925,2641.309167,0,1.0
317,9cdf6db6e5a661a3a5ab346ab3e60e30f26f0c1038c242dd3ee7d71f272c2932,0,211,206,206,0,92.458,90000.079375,1,0.976303317535545
318,2e79e2752a6af40841436212f5d33668b16fc3c84df3027979591168cfff4252,1,105,105,105,0,93.175125,2594.316042,0,1.0
319,27febf057d17902f59a4085a8b654aac33244197465815feae427a847d24d658,0,211,203,203,0,86.641042,90000.028459,1,0.9620853080568721
320,36f6e1f82e4b662d3af2273b42b00ec94a2d80083e2b0fbe43e41bf5eb0af3ce,3,67,67,67,0,80.18225,2917.753375,0,1.0
321,044f31895367615a0f1788464781a1e50f7bb8abec2650c5622505cf45a7f55e,1,105,105,105,0,67.448292,2493.170958,0,1.0
322,437e1769f74db994c36e723aa0dcdf6a5a558ee07bab57a06cb8e086e635257a,2,73,73,73,0,146.757042,2453.470458,0,1.0
323,fbff0f7cadf1d7edde13129573e06d125e8a893cf22b9ac80c5d87e16540efe0,0,211,203,203,0,87.314125,90000.019583,1,0.9620853080568721
324,2abe69aa0d622241530d51daec6e1884f36f6eb2234aa59f4a7f29901c4971d3,0,211,207,207,0,97.513334,90000.015209,1,0.981042654028436
325,7bae96d395a27a584e7f36bca30723ecd1175fe32441664e0b914c2b0a9a0276,0,211,203,203,0,87.321125,90000.020042,1,0.9620853080568721
326,d036a13858529a1e85dd164a4ba92a2ac699fc3c853453889c26bb353a77752b,0,211,189,189,0,97.351125,90000.013625,1,0.8957345971563981
327,225822d6bdd68cf1fafa6527c0c7b7b951910dae70781a87910eb4e3905890d7,4,39,39,39,0,151.463375,776.578959,0,1.0
328,06aa74ef4dda6c0ac2018ea21732a17ac22e7f3010c76fee59f6e52a7f01d54c,1,105,105,105,0,83.581708,2758.250125,0,1.0
329,bd913ca90eb0003e4bec154213f22b2ef478c9adcb00fe5e7909ee1e3ca33251,0,211,198,198,0,83.536791,90000.011416,1,0.9383886255924171
330,6ad5c667578f68e5851a036f6392b5bc01fd3580faa0950abd0bb51d21db88f1,2,73,73,73,0,81.205959,1475.329792,0,1.0
331,aabef9c644edc7cc72740ef7b3981b87ac5308faceae3a2b85e58919b2bc7d5a,4,39,39,39,0,86.08775,771.364458,0,1.0
332,40cb175f76ca9860a860aee9758e773ffe97bce9dad04fda0f9a9f031726e7a1,0,211,207,207,0,96.647375,90000.029167,1,0.981042654028436
333,a1a9593a321f3d6c98780619e93d3c0675f9cb991f4b1feadba0feb06d3a88f4,1,105,105,105,0,84.757375,2918.043041,0,1.0
334,b563c9de652fbace67a119f5c7b45368a73dd70514124f3f7068090abb68afbd,0,211,205,205,0,86.075875,90000.025458,1,0.9715639810426541
335,365798c10ee0b2568c0f508516a289f7405a83bb925500412eed532829304f27,4,39,39,39,0,84.891416,831.5275,0,1.0
336,46780969135180cc1c76c29c8e0cf307470e937b4e03e81d56b5c9d1f12157a7,0,211,206,206,0,70.076208,90000.013,1,0.976303317535545
337,b711abcda134526b84f4d49a87fb09d9cc2011296630ef8520ab431a8e800beb,3,67,67,67,0,88.108917,1678.151042,0,1.0
338,821a8396e670849f243d84b1fa20a18e6c899ed2bd4d9efe7fd7da53bb5aa665,0,211,199,199,0,81.73525,90000.024291,1,0.943127962085308
339,03aaf367dec951e9660700e2494ce461489e962bdd65cdea42a8185ea26e6549,0,211,204,204,0,94.19125,90000.035542,1,0.966824644549763
340,7cccde367d5d643ae60a5d59c2a166e7c8c668f7e69e988bd851072b733f67b7,0,211,194,194,0,79.899458,90000.021042,1,0.919431279620853
341,d28cbad3f8d09e2ed349cc0b0e6a48b40e2e73cb713e2c9cce8ceba68c4d1bb9,0,211,208,208,0,96.052791,90000.043166,1,0.985781990521327
342,dae9d3778b0142649c20966d3799fdcf702b0ebdcea1fd38eee70ea35ae52dbf,4,39,39,39,0,143.5485,1167.0715,0,1.0
343,cd0be1631cb1ed8cbc9c29cffc55a015937c666cbccac97bd953d7d9b0143b7b,2,73,73,73,0,96.288542,2467.025042,0,1.0
344,76e335e117dad6d724145d71094ea5913b6f3505441c4b9acdf60b60c70884ed,0,211,207,207,0,85.641292,90000.030083,1,0.981042654028436
345,4279b333ad9f3ca75449e037986f0c36e1ebd02267a617e6ef2b2d882fa77beb,1,105,104,104,0,85.829709,90000.025875,1,0.9904761904761905
346,5418bf1fc3a7105587dfdf65d7b5daa16aa4c9f0cd271269fd6864587845858f,3,67,67,67,0,93.192209,2216.4505,0,1.0
347,3384a291d3a9acde394a7fbd847afa583dbda240c517fca013afa9d18e016f34,2,73,73,73,0,86.38125,2103.505,0,1.0
348,a5d779c1be1d66ce146bd8c5b16787f4dc11743aec47422bd51a9493990779df,0,211,162,162,0,86.513958,90000.023417,1,0.7677725118483413
349,ee5feaaa90da2ecf7f9a75264ba304e742797301010ac754037316c09806fdec,0,211,204,204,0,89.616167,90000.016292,1,0.966824644549763
350,c7c2e4c0d6c4aaeea3944126b903ca73250b0ec640c006c447af1fb74c94e384,0,211,200,200,0,92.59375,90000.018541,1,0.9478672985781991
351,d23b1e16735e5998986f4d2a5cbdb22f3d59a0133857c4f15e1e04d30359cef2,2,73,73,73,0,94.621542,1987.283459,0,1.0
352,a856d317c554d4fdbc1a4f7471843dba9095a669a4ef9fa576cb1594029f9e11,0,211,206,206,0,93.563042,90000.022167,1,0.976303317535545
353,4ab07d98a41059b49f5d777cf88ab8e5b41dccaa1144f1d8f56b05bf6162eaaa,1,105,105,105,0,97.460875,2165.976958,0,1.0
354,9a3c7cc829cf6e567fddcfbaa4560e1c50b27e28f729524d7c2fc64405f23e3d,0,211,158,158,0,81.614,90000.021334,1,0.7488151658767772
355,47fd1470d014100bd80683171f460687fbdf400b884cefbc45d77a1d961b478b,0,211,205,205,0,90.041292,90000.013084,1,0.9715639810426541
356,04e05f9c05502561914807446d431fab82a2e367b65296722a9dfc4b8e368fe5,0,211,205,205,0,82.085583,90000.018625,1,0.9715639810426541
357,4f10771a247fe0b91f9ad459da1ffa2ebb329cf974d7c24ee9a6fe70b2911fee,2,73,73,73,0,138.004292,1827.512708,0,1.0
358,176287975066003d3a49a21b984d7084c2c32b832efae0d32984f84ff2e58788,2,73,73,73,0,90.157625,1562.200583,0,1.0
359,f1c7a40d36b279360d5d6d8d8bee3c8962a22f12c404997aa242519a25c7f1f2,0,211,208,208,0,83.423708,90000.028333,1,0.985781990521327
360,02d5725ae20ec95c2e462373b212555546bae75a0cc7adf1528b3193a68e29c0,0,211,203,203,0,97.650833,90000.014667,1,0.9620853080568721
361,304745102daf0c9d5c3cbf1d04e5feec891548147221076ddd098a64134ebcef,1,105,104,104,0,82.608458,90000.011125,1,0.9904761904761905
362,b493804fb9a92d4e2c8d726ba2659314c2d115d2193216f54ff11d3fe7ac9596,2,73,73,73,0,82.927083,1547.293375,0,1.0
363,1c140424db9fe39d9cc536ed58451ec85e6b7e4a5a1d9a9a87c4bca14ad6937a,0,211,194,194,0,94.052417,90000.026875,1,0.919431279620853
364,68a71275a3631beec6e11da69f72bfcd24d64f629dd3229491179d999b724e04,0,211,207,207,0,97.921916,90000.01825,1,0.981042654028436
365,f6e212613d35532aa2e26dca06ed5ba76725d23493e89d9f5c6468368491663c,0,211,203,203,0,87.142417,90000.01425,1,0.9620853080568721
366,9efcbdaa9599a75f8a846f27cfd467b0d9380a78c03c15ed4592c6af349db43c,0,211,201,201,0,78.77875,90000.023291,1,0.95260663507109
367,24a05f13be6a5504586ece03c08efaffd5575a6b2fa2f6964cd64a2b9ea2f044,0,211,160,160,0,76.85725,90000.021416,1,0.7582938388625592
368,5a5b1897d3370fdfe507f91aee80b6e327a5a771ec671aeaeed75064f10857f3,3,67,67,67,0,88.573625,1439.181209,0,1.0
369,f7b94a0ac997b6cfa1f56397da03d5abcf4f64c82fea0d7b7cae1bc24733c05d,0,211,205,205,0,94.812125,90000.025209,1,0.9715639810426541
370,8da1d458668db200b9fbb04ff5c19589186bc276b29c3d09fe26fa21a3946cfe,2,73,73,73,0,81.347959,2625.748667,0,1.0
371,1f5a90b509d941df4f6c447568b7cc8dd35a9980a5e4950b5a2379e43a0297c0,0,211,195,195,0,86.696625,90000.033625,1,0.9241706161137441
372,54c2631bbc4eea95e1ed73b7f1e01b899a9a7be20355bad5ef15f45d8348cf00,0,211,210,210,0,67.112583,90000.034,1,0.995260663507109
373,358ae309fbfa02bc7bde0ac8973930e93deda5dd5fd5a93e9c5fd7e594de84fd,0,211,191,191,0,95.504459,90000.014917,1,0.9052132701421801
374,0672e71e50ccffe6ee597008d4b4abe0bf4333c2697e3cae67f296af6eedaf26,0,211,205,205,0,94.54925,90000.015542,1,0.9715639810426541
375,b23b527d26820ac3c72cfc4b70b93bb8da6f2bc6e35c84776e3dc1fb0574dbc5,2,73,73,73,0,96.506042,2109.046917,0,1.0
376,f589fd0e4c349757f74e18b7115aaa49f2fe166f0afa20e78e833071135ce805,3,67,67,67,0,97.198292,2470.739875,0,1.0
377,aa9cd4afa65fb2feaf5f1e85ae6af32911403ffceef6edd18a0926d4cd497404,3,67,67,67,0,96.131833,1871.973833,0,1.0
378,d963e4526bba63f25a11cfd4396513e2be079476424082bd1dae5febf3043d01,1,105,105,105,0,90.892917,2051.542875,0,1.0
379,ddaf29dedbc35cf9d191d82db9cd11b355fdc43e4bc7efdc777032e3b757e50f,2,73,73,73,0,95.440375,2592.97075,0,1.0
380,99026c346223947e8f27009dc629adf957a83751b08ed26ac2daa925d7474577,0,211,207,207,0,88.946375,90000.027709,1,0.981042654028436
381,77bdbd39842d555ccb676a0a72d18ee1fa38974a12ba2933054ebb862a5912c4,0,211,197,197,0,81.794042,90000.029667,1,0.933649289099526
382,6150ad395d0ecf5ff59f6e454a1f7e42dc288b599ccf8e37e0e27525fbd69952,1,105,105,105,0,140.662458,3536.967,0,1.0
383,c126e0964072903109457a1576e219a9166c2cf99f08f0317f2034a05e8763e8,1,105,105,105,0,76.0865,2501.216417,0,1.0
384,e5d5f83e85a9c9787bb70b1b3a509485c93250a430ef80fbb38e89f2993c1e90,0,211,205,205,0,96.004458,90000.021458,1,0.9715639810426541
385,87db38ad67017fe5018b5b9b495acc1709b0c62ccf68142c0e81a08127b91c66,0,211,166,166,0,97.006042,90000.028,1,0.7867298578199052
386,1de5f520453d275d4254096763791827afb9a553f69cd54e7068859f1d88b408,1,105,105,105,0,213.614458,3416.49675,0,1.0
387,9f00becf063f49e6fc40a11b02006e9368e3cbcafa4b475b9b964a63650aa7da,0,211,157,157,0,95.860292,90000.023458,1,0.7440758293838863
